Row,FL,X,Y,Z,X1,Y1,Z1
299,a,-14.7,91.4,-33.7,-9.61,80.87,-25.75
301,a,-19.3,88.7,-33.4,-17.72,84.42,-35.58
303,a,-17,103,-25.8,-11.75,94.66,-28.91
305,a,-21.4,103.8,-26.7,-18.71,101.56,-27.27
307,a,-9.3,97.5,-22,-3.53,92.17,-19.7
309,a,-31.9,90.9,-7.2,-32.99,85.43,-1.16
311,a,-14.5,106.8,-18.1,-7.5,101.05,-19.64
313,a,-23.4,107.8,-14.9,-23.62,102.32,-5.66
315,a,-21.5,107.5,-12.7,-14.67,101.73,-1.88
317,a,-25.2,86.2,-36.3,-23.87,77.86,-39.32
319,a,-34.6,90.3,-33.4,-38.96,86.06,-34.7
321,a,-26,100.8,-49.6,-35.92,102.18,-49.14
323,a,-27.9,99.2,-52.7,-26.25,92.53,-63.76
325,a,-27.4,102,-49.4,-21.64,104.8,-52.3
327,a,-32.3,100.5,-48.7,-40.36,95.12,-48.23
329,a,-39.3,95.5,-46.5,-45.46,89.18,-55.05
331,a,-14.6,99,-40.9,-7.71,93.69,-45.35
333,a,-24,108.8,-35.8,-42.43,115.26,-34.59
335,a,-20.3,109.9,-32.4,-17.72,106.57,-28.21
337,a,-34.3,95,-36.2,-36.58,89.11,-39.31
339,a,-40.5,102.2,-23.8,-37.65,93.98,-19.56
341,a,-36.4,111.2,-32.7,-35.63,111.67,-37.01
343,a,-46.4,109.7,-23.7,-56.58,106.46,-21.58
345,a,-42.6,106,-29.5,-48.07,103.36,-31.3
347,a,-27.8,110.6,-33.6,-30.82,115.75,-35.82
349,a,-30.8,110.8,-31.4,-29.85,115.18,-23.54
351,a,-30.1,104.3,-45.8,-25.9,93.33,-52.49
353,a,-27.1,117.8,-34.1,-20.19,122.32,-39.57
355,a,-33.3,117.4,-39.5,-49.02,119.31,-36.64
357,a,-31.9,118.4,-35.4,-32.07,120.94,-28.69
359,a,-26,123.7,-40.7,-18.78,124.93,-36.77
361,a,-37.5,117.7,-41.8,-42.77,108.59,-43.09
363,a,-28.9,118.3,-47.7,-19.55,121.23,-54.68
365,a,-31.4,97.9,20.1,-33.1,100.33,27.09
367,a,-30.8,95.7,7,-39.82,92.42,5.07
369,a,-30,95.7,0.9,-30.48,94.66,-9.24
371,a,-17,99.8,-2.4,-6.62,97.11,-1.74
373,a,-40.6,91,1,-41.51,84.41,-11.3
375,a,-31.7,100.2,0.1,-30.1,97.71,15.97
377,a,-35.3,106.3,-12.6,-43.18,95.1,-14.34
379,a,-32.1,95.8,-24.8,-29.32,79.94,-33.42
381,a,-38.5,105.2,-17.4,-49,98.88,-18.57
383,a,-35.1,109.7,-30.7,-44.44,91.85,-31.75
