Row,FL,X,Y,Z,X1,Y1,Z1
121,b,-62.6,-7.9,47.6,-62.96,-26.13,55.93
123,b,-64.3,-1.4,44.9,-67.23,-3.36,45.72
125,b,-61.4,0.1,45.8,-58.53,1.82,48.08
127,b,-63.3,-1.3,47.7,-64.12,-3.77,51.85
129,b,-59.1,-2.2,47,-55.17,-7.25,51.17
131,b,-58.5,-4.1,47,-50.45,-18.21,55.2
133,b,-58.7,-1.5,50.8,-59.43,-8.99,51.8
135,b,-52.1,0.7,48.6,-46.62,-3.43,46.48
137,b,-52.9,1.2,53.9,-51.07,-10.21,57.95
139,b,-58.3,3.7,50,-62.82,3.96,53.81
141,b,-66.7,-1.4,49,-67.14,-12.15,50.21
143,b,-58.9,3.1,46,-54.35,-2.65,43.21
145,b,-68.5,4.1,50.5,-67.94,-4.06,53.41
147,b,-61.3,9.6,55.1,-59.27,-0.21,60.55
149,b,-66.2,11.4,47.5,-67.13,3.09,42.9
151,b,-65.9,11.5,54.7,-66.91,1.35,55.84
153,b,-52.1,-10.6,10.2,-67.91,-16.16,9.81
155,b,-44.9,-15.1,18.3,-34.48,-22.11,28.6
157,b,-51,-16.6,24.3,-45.6,-19.77,34.73
159,b,-47.5,-20.8,39.8,-56.35,-25.95,44.05
161,b,-49.2,-24,43.4,-53.42,-26.58,55.66
163,b,-44.6,-21.4,41.8,-51.73,-22.88,55.74
165,b,-48,-21.2,40.2,-48.41,-23.9,44.54
167,b,-41.9,-22.9,38.4,-32.12,-25.06,36.16
169,b,-43.5,-20.1,41.7,-37.1,-18.42,40.27
171,b,-38.6,-21.5,43,-29.01,-28.11,47.27
173,b,-45.7,-21.8,49.8,-45.34,-26.45,61.25
175,b,-39.1,-21,48.8,-35.42,-25.49,56.47
177,b,-47.8,-19,47.3,-52.96,-26.1,54.41
179,b,-42.1,-18.9,50.5,-37.21,-27.93,62.17
181,b,-60.3,-13.4,12,-66.48,-20.36,-3.23
183,b,-64.6,-8.3,19.6,-65.96,-14.55,17.78
185,b,-56.2,-10.6,24.3,-51.55,-14.12,26.48
187,b,-62.6,-0.8,24.7,-64.97,-7.05,28.12
189,b,-59.5,4,17.9,-59.71,12.39,12.96
191,b,-66.8,0.2,18,-76.69,-11.19,13.45
193,b,-59.7,2.5,25.6,-56.93,-1.7,38.41
195,b,-67.5,1.6,20,-73.16,-3.39,18.73
197,b,-69.5,1.4,22,-71.96,-4.43,25.56
199,b,-69.4,3.7,18.1,-78.71,-6.14,15.49
201,b,-65.6,4.3,17.4,-68.85,2.23,13.89
203,b,-64,2.5,21.1,-66.95,-1.46,24.03
205,b,-60.5,5.9,19.1,-48.98,15.46,11.31
207,b,-61.4,2.7,22.1,-62.53,3.29,26.59
209,b,-58.6,0.8,25,-58.65,-14.4,26.47
211,b,-63.9,9.2,20.6,-71.45,19.34,24.94
213,b,-67.2,10.6,21.1,-79.92,-1.54,21.82
215,b,-63.7,8.3,22.4,-65.29,-0.85,24.74
217,b,-58,11.4,22.1,-49.67,0.01,30.98
219,b,-56.9,14.5,20.9,-42.6,23.41,26.98
221,b,-61.2,13.9,20,-62.54,19.97,22.44
223,b,-59.7,-18.3,30.3,-55.39,-21.38,34.74
225,b,-69.7,-10,35.2,-69.13,-6.41,29.28
227,b,-72.1,-12.2,39.9,-75.84,-13.9,42.72
229,b,-66.6,-7.7,43.9,-63.48,-10.52,50.58
231,b,-72.6,-7.2,38.4,-77.17,-11.65,37.51
233,b,-62.3,-4.4,39.8,-50.58,-12.83,34.58
235,b,-72,-6,42.5,-75.45,-13.39,47.83
237,b,-66.6,-10.4,45.4,-68.38,-23.07,48.14
239,b,-70,-6.9,46.2,-73.95,-10.35,50.91
241,b,-70.1,-9.8,49.1,-71.14,-17.49,53.89
243,b,-70.6,-3.8,40.1,-74.74,-0.33,34.54
245,b,-74.9,-15.8,37.4,-74.32,-16.48,40.69
